Date,Open,High,Low,Close,Volume
2022-12-13,102.2,102.85,101.15,102.2,46543
2022-12-14,102.8,102.85,100.4,100.65,36518
2022-12-15,100.85,103.15,100.6,102.25,98526
2022-12-16,102.45,104.0,101.3,103.0,128973
2022-12-19,103.05,106.95,103.05,104.65,167732
2022-12-20,105.25,105.45,101.8,102.75,63473
2022-12-21,103.35,104.6,97.2,97.75,126631
2022-12-22,99.45,100.2,92.8,93.6,122094
2022-12-23,91.15,92.2,87.2,87.95,90253
2022-12-26,88.35,94.65,83.55,94.15,130806
2022-12-27,94.8,97.65,94.65,96.95,63697
2022-12-28,97.15,98.55,95.8,97.25,39134
2022-12-29,97.15,97.45,95.05,95.55,36128
2022-12-30,96.45,98.25,95.85,97.15,28931
2023-01-02,97.8,101.0,97.55,100.35,41743
2023-01-03,100.45,102.0,100.0,100.6,33544
2023-01-04,100.85,101.55,98.85,99.65,34912
2023-01-05,100.2,103.15,99.25,101.4,72032
2023-01-06,101.65,102.6,100.0,100.85,56856
2023-01-09,101.35,102.05,99.65,100.25,32900
2023-01-10,100.35,101.0,99.45,99.85,24151
2023-01-11,100.3,100.65,97.25,97.85,33900
2023-01-12,98.25,98.65,94.35,95.4,77947
2023-01-13,95.75,96.55,95.0,95.35,42082
2023-01-16,97.45,97.45,95.0,96.15,92696
2023-01-17,96.45,99.8,87.8,98.15,176353
2023-01-18,102.2,105.35,100.45,101.45,333275
2023-01-19,101.55,101.55,97.8,98.95,86830
2023-01-20,99.95,100.25,95.6,96.15,48873
2023-01-23,96.15,96.35,93.55,94.0,48090
2023-01-24,93.6,101.7,92.75,100.15,139832
2023-01-25,100.0,102.65,100.0,100.25,84940
2023-01-27,100.8,100.8,93.35,94.15,113512
2023-01-30,94.2,100.75,92.25,94.85,149240
2023-01-31,96.65,106.45,95.55,105.35,555039
2023-02-01,106.0,110.65,98.9,100.1,631992
2023-02-02,99.95,106.65,98.7,105.85,288259
2023-02-03,106.45,108.15,101.15,103.05,238223
2023-02-06,103.15,110.2,102.25,108.8,535330
2023-02-07,110.55,113.35,108.65,109.05,770195
2023-02-08,109.95,110.65,105.15,109.45,269437
2023-02-09,108.85,110.5,107.75,108.95,127449
2023-02-10,108.8,109.85,105.55,105.85,166153
2023-02-13,106.65,106.85,100.45,101.5,239763
2023-02-14,102.05,104.0,93.15,95.55,237645
2023-02-15,95.85,100.85,93.85,99.3,232197
2023-02-16,99.3,101.65,99.2,101.0,126312
2023-02-17,100.0,101.75,98.75,100.2,93094
2023-02-20,100.65,100.7,96.45,96.95,91452
2023-02-21,97.8,98.85,96.05,96.7,75523
2023-02-22,96.15,98.65,94.5,95.2,124924
2023-02-23,95.6,97.65,94.0,95.55,86582
2023-02-24,95.95,98.3,94.65,97.7,96007
2023-02-27,98.2,98.45,94.5,95.85,72537
2023-02-28,96.35,96.85,95.15,96.25,63939
2023-03-01,95.55,98.2,95.45,95.8,82507
2023-03-02,94.65,98.2,94.65,97.55,64944
2023-03-03,98.85,99.25,96.7,97.6,110328
2023-03-06,98.85,99.65,95.55,96.2,107105
2023-03-08,96.0,102.85,95.75,101.8,412947
2023-03-09,102.3,103.65,100.45,101.2,142649
2023-03-10,101.05,103.45,100.0,100.65,201752
2023-03-13,100.85,100.85,96.0,96.8,137093
2023-03-14,97.2,98.85,94.45,95.05,93047
2023-03-15,95.55,100.55,95.55,98.6,214372
2023-03-16,99.2,99.2,96.45,96.85,79903
2023-03-17,97.55,98.95,95.85,96.85,64730
2023-03-20,95.95,98.7,94.85,95.95,137181
2023-03-21,95.95,97.05,95.3,96.5,79298
2023-03-22,96.95,99.1,96.45,97.05,169968
2023-03-23,97.2,98.85,96.0,96.3,151693
2023-03-24,96.3,97.95,94.85,95.45,211165
2023-03-27,95.75,95.85,90.65,91.6,148782
2023-03-28,91.65,92.6,86.65,87.55,207921
2023-03-29,86.85,95.05,86.8,92.8,293151
2023-03-31,94.75,97.15,91.85,92.8,231095
2023-04-03,93.55,96.3,92.95,94.85,129244
2023-04-05,95.15,98.8,95.15,97.35,228495
2023-04-06,96.65,98.65,96.45,97.3,100268
2023-04-10,97.95,98.65,96.5,96.95,90380
2023-04-11,96.95,98.2,95.6,97.25,125431
2023-04-12,97.35,101.95,97.35,98.85,239955
2023-04-13,99.35,103.1,98.9,100.05,155821
2023-04-17,100.05,104.65,98.95,103.35,209452
2023-04-18,104.45,107.15,103.35,106.35,296415
2023-04-19,106.6,111.0,106.55,109.7,434767
2023-04-20,109.65,111.15,107.35,110.85,373631
2023-04-21,111.15,114.55,109.15,110.75,478647
2023-04-24,111.0,112.4,106.45,107.55,280865
2023-04-25,107.65,110.8,106.85,108.05,181121
2023-04-26,108.9,110.4,108.05,108.8,220646
2023-04-27,109.15,114.2,109.15,113.05,400261
